index,base,sort_time_iso,duration_s,has_video,has_cover,has_thumb,mp4,cover,thumb
52,4859d6ef3b28fc1a1148ad7ebe7bce21,2026-05-01 18:20:11,62.19,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\4859d6ef3b28fc1a1148ad7ebe7bce21.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\4859d6ef3b28fc1a1148ad7ebe7bce21.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\4859d6ef3b28fc1a1148ad7ebe7bce21_thumb.jpg
53,83f841b620b0d886d056b45d3bb535cd,2026-05-01 18:20:13,63.21,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\83f841b620b0d886d056b45d3bb535cd.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\83f841b620b0d886d056b45d3bb535cd.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\83f841b620b0d886d056b45d3bb535cd_thumb.jpg
54,aed1d90b0021e193c6a8cd427fc98f70,2026-05-01 18:20:14,20.23,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\aed1d90b0021e193c6a8cd427fc98f70.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\aed1d90b0021e193c6a8cd427fc98f70.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\aed1d90b0021e193c6a8cd427fc98f70_thumb.jpg
55,02538c6f575ca280002d5abf7e9ed623,2026-05-01 18:29:20,7.13,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\02538c6f575ca280002d5abf7e9ed623.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\02538c6f575ca280002d5abf7e9ed623.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\02538c6f575ca280002d5abf7e9ed623_thumb.jpg
56,daecd0d8b8808c8be680f6b708135876,2026-05-01 18:29:58,11.2,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\daecd0d8b8808c8be680f6b708135876.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\daecd0d8b8808c8be680f6b708135876.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\daecd0d8b8808c8be680f6b708135876_thumb.jpg
57,faafee070309633018099fccfa926ff8,2026-05-01 18:30:01,3.07,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\faafee070309633018099fccfa926ff8.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\faafee070309633018099fccfa926ff8.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\faafee070309633018099fccfa926ff8_thumb.jpg
58,942cb5784e24cda947f9da12b32cd241,2026-05-01 18:30:09,15.87,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\942cb5784e24cda947f9da12b32cd241.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\942cb5784e24cda947f9da12b32cd241.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\942cb5784e24cda947f9da12b32cd241_thumb.jpg
59,218a4e2427f045e3f4b733c9fb9220d3,2026-05-01 18:30:20,11.31,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\218a4e2427f045e3f4b733c9fb9220d3.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\218a4e2427f045e3f4b733c9fb9220d3.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\218a4e2427f045e3f4b733c9fb9220d3_thumb.jpg
60,7382a51ca636f1c265dd8e396c4c3b89,2026-05-01 18:37:20,21.8,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\7382a51ca636f1c265dd8e396c4c3b89.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\7382a51ca636f1c265dd8e396c4c3b89.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\7382a51ca636f1c265dd8e396c4c3b89_thumb.jpg
61,e6b93ad1ae398590a7aacb88906e90ed,2026-05-01 18:37:27,8.17,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\e6b93ad1ae398590a7aacb88906e90ed.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\e6b93ad1ae398590a7aacb88906e90ed.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\e6b93ad1ae398590a7aacb88906e90ed_thumb.jpg
62,f6ceb37beb4e90d4973b3e2f2b50f66e,2026-05-01 18:37:34,7.67,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\f6ceb37beb4e90d4973b3e2f2b50f66e.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\f6ceb37beb4e90d4973b3e2f2b50f66e.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\f6ceb37beb4e90d4973b3e2f2b50f66e_thumb.jpg
63,23d41389ea978113c9c324684635c434,2026-05-01 18:37:38,5.77,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\23d41389ea978113c9c324684635c434.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\23d41389ea978113c9c324684635c434.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\23d41389ea978113c9c324684635c434_thumb.jpg
64,a19516304bc04823c5aa244d0284ec26,2026-05-01 18:37:42,2.53,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\a19516304bc04823c5aa244d0284ec26.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\a19516304bc04823c5aa244d0284ec26.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\a19516304bc04823c5aa244d0284ec26_thumb.jpg
65,f7c3c2b349b0e35a7b786c11fd140c3b,2026-05-01 18:37:47,6.87,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\f7c3c2b349b0e35a7b786c11fd140c3b.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\f7c3c2b349b0e35a7b786c11fd140c3b.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\f7c3c2b349b0e35a7b786c11fd140c3b_thumb.jpg
66,dad3d608741b9dcbc24dd16c197c5cbb,2026-05-01 18:38:32,62.19,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\dad3d608741b9dcbc24dd16c197c5cbb.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\dad3d608741b9dcbc24dd16c197c5cbb.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\dad3d608741b9dcbc24dd16c197c5cbb_thumb.jpg
67,05f292c327bd094405b9ae023c3c72de,2026-05-01 18:38:38,14.0,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\05f292c327bd094405b9ae023c3c72de.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\05f292c327bd094405b9ae023c3c72de.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\05f292c327bd094405b9ae023c3c72de_thumb.jpg
68,630f8f03365f1ef74b9c59ce1d57c5d2,2026-05-01 18:41:02,63.21,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\630f8f03365f1ef74b9c59ce1d57c5d2.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\630f8f03365f1ef74b9c59ce1d57c5d2.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\630f8f03365f1ef74b9c59ce1d57c5d2_thumb.jpg
69,767626cefa7ad43620c1b32a596d74a4,2026-05-01 18:53:45,4.87,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\767626cefa7ad43620c1b32a596d74a4.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\767626cefa7ad43620c1b32a596d74a4.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\767626cefa7ad43620c1b32a596d74a4_thumb.jpg
